"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"NESTLEIND","Nestle India Limited","EQ","Bonus 1:1","1","08-Aug-2025","08-Aug-2025","-","-"
"NESTLEIND","Nestle India Limited","EQ","Dividend - Rs 10 Per Share","1","04-Jul-2025","04-Jul-2025","-","-"
"NESTLEIND","Nestle India Limited","EQ","Interim Dividend - Rs 14.25 Per Share","1","07-Feb-2025","07-Feb-2025","-","-"
"NESTLEIND","Nestle India Limited","EQ","Dividend - Rs 8.50 Per Share","1","16-Jul-2024","16-Jul-2024","-","-"
"NESTLEIND","Nestle India Limited","EQ","Interim Dividend - Rs 2.75 Per Share","1","16-Jul-2024","16-Jul-2024","-","-"
"NESTLEIND","Nestle India Limited","EQ","Interim Dividend - Rs 7 Per Share","1","15-Feb-2024","15-Feb-2024","-","-"
"NESTLEIND","Nestle India Limited","EQ","Face Value Split (Sub-Division) - From Rs10/- Per Share To Re 1/- Per Share","1","05-Jan-2024","05-Jan-2024","-","-"
"NESTLEIND","Nestle India Limited","EQ","Interim Dividend - Rs 140 Per Share","1","01-Nov-2023","01-Nov-2023","-","-"
"NESTLEIND","Nestle India Limited","EQ","Final Dividend - Rs 75 Per Share","1","21-Apr-2023","21-Apr-2023","-","-"
"NESTLEIND","Nestle India Limited","EQ","Interim Dividend - Rs  27 Per Share","1","21-Apr-2023","21-Apr-2023","-","-"
"NESTLEIND","Nestle India Limited","EQ","Interim Dividend - Rs 120 Per Share","1","31-Oct-2022","01-Nov-2022","-","-"
"NESTLEIND","Nestle India Limited","EQ","Interim Dividend - Rs 25 Per Sh/Dividend - Rs 65 Per Share","1","21-Apr-2022","22-Apr-2022","-","-"
"NESTLEIND","Nestle India Limited","EQ"," Interim Dividend - Rs 110 Per Share","1","26-Oct-2021","27-Oct-2021","-","-"
"NESTLEIND","Nestle India Limited","EQ"," Annual General Meeting/Dividend - Rs 65 Per Share","1","29-Apr-2021","-","01-May-2021","07-May-2021"
"NESTLEIND","Nestle India Limited","EQ"," Interim Dividend - Rs 25 Per Share","1","29-Apr-2021","-","01-May-2021","07-May-2021"
"NESTLEIND","Nestle India Limited","EQ"," Interim Dividned - Rs 135 Per Share","1","29-Oct-2020","02-Nov-2020","-","-"
"NESTLEIND","Nestle India Limited","EQ"," Annual General Meeting/Dividend - Rs 61 Per Share","1","11-Jun-2020","-","13-Jun-2020","19-Jun-2020"
"NESTLEIND","Nestle India Limited","EQ"," Interim Dividend - Rs 55 Per Share","1","10-Dec-2019","11-Dec-2019","-","-"
"NESTLEIND","Nestle India Limited","EQ"," Interim Dividend - Rs 23 Per Share/ Special Dividend - Rs180 Per Share","1","09-Aug-2019","13-Aug-2019","-","-"
"NESTLEIND","Nestle India Limited","EQ"," Interim Dividend - Rs 23 Per Share","1","06-May-2019","07-May-2019","-","-"
