"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"GRASIM","Grasim Industries Limited","EQ","Dividend - Rs 10 Per Share","2","12-Aug-2025","12-Aug-2025","-","-"
"GRASIM","Grasim Industries Limited","EQ","Annual General Meeting/Dividend - Rs 10 Per Share","2","06-Aug-2024","-","07-Aug-2024","20-Aug-2024"
"GRASIM","Grasim Industries Limited","EQ","Rights 6:179 @ Premium Rs 1810/-","2","10-Jan-2024","10-Jan-2024","-","-"
"GRASIM","Grasim Industries Limited","EQ","Annual General Meeting/Dividend - Rs 10 Per Share","2","11-Aug-2023","-","12-Aug-2023","25-Aug-2023"
"GRASIM","Grasim Industries Limited","EQ","Annual General Meeting/Dividend - Rs 5 Per Share/Special Dividend - Rs 5 Per Share","2","11-Aug-2022","-","13-Aug-2022","29-Aug-2022"
"GRASIM","Grasim Industries Limited","EQ"," Annual General Meeting/Dividend - Rs 5  Per Share/ Special Dividend - Rs 4 Per Share","2","12-Aug-2021","-","14-Aug-2021","27-Aug-2021"
"GRASIM","Grasim Industries Limited","EQ"," Dividend - Rs 4 Per Share","2","26-Aug-2020","-","28-Aug-2020","14-Sep-2020"
"GRASIM","Grasim Industries Limited","EQ"," Annual General Meeting/Dividend - Rs 7 Per Sh","2","08-Aug-2019","-","13-Aug-2019","23-Aug-2019"
"GRASIM","Grasim Industries Limited","EQ"," Dividend Rs 6.20 Per Share","2","31-Aug-2018","-","04-Sep-2018","14-Sep-2018"
"GRASIM","Grasim Industries Limited","EQ"," Annual General Meeting/Dividend - Rs 5.50 Per Share","2","08-Sep-2017","-","12-Sep-2017","22-Sep-2017"
"GRASIM","Grasim Industries Limited","EQ"," Scheme Of Arrangement","2","19-Jul-2017","20-Jul-2017","-","-"
"GRASIM","Grasim Industries Limited","EQ"," Face Value Split From Rs 10 To Re 2","2","06-Oct-2016","08-Oct-2016","-","-"
"GRASIM","Grasim Industries Limited","EQ"," Dividend - Rs 22.50 Per Share","2","07-Sep-2016","-","09-Sep-2016","23-Sep-2016"
"GRASIM","Grasim Industries Limited","EQ"," Annual General Meeting / Dividend Rs 18/- Per Share","2","03-Sep-2015","-","05-Sep-2015","19-Sep-2015"
"GRASIM","Grasim Industries Limited","EQ","Dividend - Rs 21/- Per Share","2","20-Aug-2014","-","22-Aug-2014","06-Sep-2014"
"GRASIM","Grasim Industries Limited","EQ","Annual General Meeting / Dividend - Rs 22.50/- Per Share","2","31-Jul-2013","-","02-Aug-2013","17-Aug-2013"
"GRASIM","Grasim Industries Limited","EQ","Annual General Meeting/ Dividend Rs 22.50 Per Share","2","27-Aug-2012","-","29-Aug-2012","07-Sep-2012"
"GRASIM","Grasim Industries Limited","EQ","Dividend-Rs.20/- Per Share","2","06-Sep-2011","-","08-Sep-2011","17-Sep-2011"
"GRASIM","Grasim Industries Limited","EQ","Dividend-Rs.30/- Per Share","2","10-Aug-2010","-","12-Aug-2010","20-Aug-2010"
"GRASIM","Grasim Industries Limited","EQ","Scheme Of Arrangement","2","26-May-2010","28-May-2010","-","-"
