"SYMBOL","COMPANY NAME","SERIES","PURPOSE","FACE VALUE","EX-DATE","RECORD DATE","BOOK CLOSURE START DATE","BOOK CLOSURE END DATE"
"BRITANNIA","Britannia Industries Limited","EQ","Dividend - Rs 75 Per Share","1","04-Aug-2025","04-Aug-2025","-","-"
"BRITANNIA","Britannia Industries Limited","EQ","Annual General Meeting/ Dividend - Rs 73.5 Per Share","1","05-Aug-2024","-","06-Aug-2024","12-Aug-2024"
"BRITANNIA","Britannia Industries Limited","EQ","Annual General Meeting","1","21-Aug-2023","-","22-Aug-2023","28-Aug-2023"
"BRITANNIA","Britannia Industries Limited","EQ","Interim Dividend - Rs 72 Per Share","1","13-Apr-2023","13-Apr-2023","-","-"
"BRITANNIA","Britannia Industries Limited","EQ","Annual General Meeting/Dividend - Rs 56.50 Per Share","1","20-Jun-2022","-","22-Jun-2022","28-Jun-2022"
"BRITANNIA","Britannia Industries Limited","EQ"," Annual General Meeting","1","30-Aug-2021","-","01-Sep-2021","06-Sep-2021"
"BRITANNIA","Britannia Industries Limited","EQ"," Scheme Of Arangement- Bonus - 1 Debenture For 1 Equity Share Held","1","25-May-2021","27-May-2021","-","-"
"BRITANNIA","Britannia Industries Limited","EQ"," Dividend - Rs 12.50 Per Share Pursuant To Scheme","1","25-May-2021","27-May-2021","-","-"
"BRITANNIA","Britannia Industries Limited","EQ"," Interim Dividend - Rs 62 Per Share","1","08-Apr-2021","10-Apr-2021","-","-"
"BRITANNIA","Britannia Industries Limited","EQ"," Interim Dividend - Rs 83 Per Share","1","26-Aug-2020","27-Aug-2020","-","-"
"BRITANNIA","Britannia Industries Limited","EQ"," Annual General Meeting","1","29-Jun-2020","-","01-Jul-2020","07-Jul-2020"
"BRITANNIA","Britannia Industries Limited","EQ"," Interim Dividend-Rs 35 Per Share","1","29-Apr-2020","02-May-2020","-","-"
"BRITANNIA","Britannia Industries Limited","EQ"," Scheme Of Arangement- Bonus - 1 Debenture For 1 Equity Share Held","1","22-Aug-2019","23-Aug-2019","-","-"
"BRITANNIA","Britannia Industries Limited","EQ"," Annual General Meeting/ Dividend - Rs 15 Per Share","1","01-Aug-2019","-","03-Aug-2019","09-Aug-2019"
"BRITANNIA","Britannia Industries Limited","EQ"," Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share","1","29-Nov-2018","30-Nov-2018","-","-"
"BRITANNIA","Britannia Industries Limited","EQ"," Annual General Meeting / Dividend- Rs 25 Per Share","1","27-Jul-2018","-","31-Jul-2018","06-Aug-2018"
"BRITANNIA","Britannia Industries Limited","EQ"," Annual General Meeting/Dividend - Rs 22/- Per Share","1","28-Jul-2017","-","01-Aug-2017","07-Aug-2017"
"BRITANNIA","Britannia Industries Limited","EQ"," Annual General Meeting/Dividend Rs 20/- Per Share","1","29-Jul-2016","-","02-Aug-2016","08-Aug-2016"
"BRITANNIA","Britannia Industries Limited","EQ","Annual General Meeting/Dividend - Rs 16/- Per Share","1","27-Jul-2015","-","29-Jul-2015","04-Aug-2015"
"BRITANNIA","Britannia Industries Limited","EQ","Annual General Meeting / Dividend - Rs 12/- Per Share","1","23-Jul-2014","-","25-Jul-2014","12-Aug-2014"
